time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.174	1.33845	5.18689	0.223169	0.193658	radar	4.71755	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3995	1.42103	5.15881	0.245762	0.209962	lidar	1.287	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6334	1.50706	5.0921	0.270275	0.230456	radar	4.1676	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8602	1.54068	5.06269	0.266651	0.212489	lidar	1.32531	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1243	1.59226	5.09417	0.267324	0.199155	radar	1.81013	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.402	1.63948	5.12717	0.264545	0.18292	lidar	1.84055	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6343	1.69834	5.08803	0.271767	0.181998	radar	0.944352	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8649	1.76384	5.07055	0.280463	0.181779	lidar	0.399608	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1188	1.85304	5.11381	0.295379	0.187077	radar	1.35576	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3618	1.88287	5.09714	0.283869	0.161758	lidar	0.710016	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6164	1.94334	5.13099	0.283919	0.150045	radar	0.987028	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8167	2.07786	5.10047	0.324728	0.191068	lidar	3.37491	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0809	2.1831	5.17506	0.339166	0.193113	radar	3.60574	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2838	2.32457	5.14982	0.378318	0.229332	lidar	2.5659	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4663	2.47181	5.0623	0.42433	0.277427	radar	10.8593	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7147	2.58698	5.08815	0.43989	0.279063	lidar	0.834695	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9346	2.7014	5.07133	0.458291	0.285903	radar	0.218855	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1624	2.8541	5.09285	0.489546	0.305951	lidar	0.602659	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4109	2.96155	5.1453	0.490128	0.282167	radar	1.56093	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6187	3.03569	5.09821	0.486295	0.261557	lidar	2.23018	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8486	3.18637	5.14685	0.508142	0.267631	radar	3.88589	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0548	3.37793	5.16717	0.552271	0.304081	lidar	1.16761	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.266	3.54403	5.16112	0.583873	0.327043	radar	2.50797	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4787	3.73065	5.18813	0.618182	0.347918	lidar	0.708109	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6907	3.86502	5.17803	0.627924	0.339033	radar	0.95778	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9123	4.00839	5.18462	0.637875	0.330567	lidar	0.234358	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1082	4.17382	5.15184	0.66628	0.352174	radar	1.77716	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3056	4.36763	5.17401	0.6975	0.367806	lidar	0.404886	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5156	4.53107	5.18827	0.710048	0.359281	radar	0.655994	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6946	4.69998	5.17169	0.731047	0.363251	lidar	0.462481	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8475	4.89843	5.10402	0.780133	0.416799	radar	4.70543	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0126	5.12129	5.12751	0.819674	0.438259	lidar	0.547583	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1819	5.29577	5.10003	0.840558	0.441786	radar	1.8045	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3428	5.47628	5.08376	0.860567	0.43979	lidar	0.237003	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4978	5.65148	5.04335	0.882976	0.447109	radar	3.38238	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6935	5.77506	5.00273	0.870535	0.407684	lidar	2.02054	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8349	5.97738	4.97421	0.906397	0.435522	radar	1.2399	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.011	6.1635	4.98238	0.917274	0.422639	lidar	0.718709	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1588	6.37334	4.991	0.942685	0.428077	radar	0.640216	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2815	6.6062	5.00648	0.979722	0.445829	lidar	0.458157	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4117	6.82259	5.00262	1.00891	0.457248	radar	0.256882	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5618	6.96088	4.93395	1.00374	0.426649	lidar	2.45766	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.71	7.16774	4.9564	1.01358	0.406513	radar	0.578473	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9087	7.30514	4.91815	0.990467	0.357571	lidar	4.25445	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9948	7.51525	4.86411	1.03447	0.401455	radar	4.26567	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0872	7.77074	4.89799	1.07671	0.426211	lidar	0.961441	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2069	7.98011	4.89639	1.09264	0.418242	radar	0.306513	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2873	8.19355	4.87367	1.12237	0.428735	lidar	1.47877	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3855	8.40604	4.8713	1.13893	0.417313	radar	2.32723	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4816	8.55625	4.78328	1.14345	0.400718	lidar	4.3709	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5709	8.76868	4.76449	1.16818	0.41099	radar	0.644064	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7342	8.93979	4.73978	1.15171	0.369861	lidar	4.31529	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8055	9.16488	4.72317	1.18719	0.398436	radar	1.04025	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9376	9.38422	4.74336	1.19031	0.379182	lidar	2.84834	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9806	9.61076	4.70758	1.2379	0.42743	radar	2.82538	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0696	9.84482	4.72732	1.25612	0.423534	lidar	0.611797	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1294	10.0925	4.75878	1.28196	0.422959	radar	7.01578	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1786	10.3584	4.80049	1.31629	0.436766	lidar	0.740016	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1935	10.5962	4.77696	1.36536	0.480726	radar	3.00786	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2531	10.8635	4.82378	1.38974	0.479995	lidar	1.87308	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2822	11.1181	4.84662	1.41831	0.481048	radar	4.85549	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3167	11.3556	4.84392	1.44176	0.480466	lidar	0.00303271	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2614	11.6059	4.81401	1.52044	0.569418	radar	10.8476	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3336	11.8453	4.82238	1.52414	0.542259	lidar	4.70335	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3596	12.0792	4.83083	1.52864	0.497107	radar	3.65448	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3476	12.3612	4.88392	1.56479	0.507558	lidar	1.09907	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2971	12.6008	4.86004	1.62436	0.566982	radar	3.29911	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.322	12.8405	4.85703	1.63651	0.549733	lidar	1.81471	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3087	13.0731	4.8422	1.66363	0.553423	radar	2.11442	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2731	13.2885	4.80869	1.69392	0.557338	lidar	1.0808	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2341	13.5236	4.80797	1.72047	0.550804	radar	1.29653	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2143	13.78	4.83173	1.74101	0.542583	lidar	1.26396	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1578	14.0085	4.81834	1.77815	0.561477	radar	0.876491	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1033	14.2614	4.84316	1.8068	0.561269	lidar	0.328554	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0313	14.4905	4.83937	1.83849	0.563718	radar	1.39226	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9239	14.7421	4.87632	1.88124	0.577854	lidar	1.23085	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8571	14.9611	4.8598	1.89827	0.553764	radar	3.39998	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8252	15.181	4.831	1.90821	0.536128	lidar	2.14803	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6918	15.392	4.81765	1.98457	0.633873	radar	7.92892	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6601	15.5846	4.75455	1.99322	0.611796	lidar	3.69363	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5651	15.7916	4.74173	2.0199	0.604338	radar	1.37407	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4619	16.0039	4.74098	2.04901	0.603213	lidar	0.0107939	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3599	16.2132	4.7376	2.06469	0.571801	radar	1.84325	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2498	16.3917	4.6988	2.09474	0.574635	lidar	0.792328	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1308	16.5896	4.69324	2.12454	0.577624	radar	0.289464	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0021	16.7972	4.7072	2.15293	0.576657	lidar	0.0951747	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8449	16.9891	4.72062	2.21182	0.639858	radar	6.49015	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6749	17.2189	4.79043	2.24564	0.639446	lidar	1.74376	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5717	17.4242	4.77388	2.23031	0.548363	radar	6.12838	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3605	17.6123	4.82154	2.27722	0.566866	lidar	3.83313	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2243	17.8039	4.81308	2.28043	0.516348	radar	2.40506	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0919	17.9905	4.79922	2.29694	0.507238	lidar	0.905139	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9159	18.1459	4.7878	2.3401	0.539986	radar	1.9756	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7821	18.2912	4.73139	2.36193	0.536343	lidar	1.13738	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6478	18.4734	4.71854	2.36893	0.507823	radar	6.68913	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4556	18.6522	4.75497	2.39666	0.509195	lidar	0.448709	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2743	18.7942	4.74262	2.43167	0.526222	radar	1.76619	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1117	18.9318	4.70981	2.45622	0.525285	lidar	0.360658	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9445	19.1021	4.71618	2.468	0.503644	radar	3.04157	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7282	19.217	4.71587	2.50845	0.519332	lidar	2.7014	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5386	19.3698	4.73034	2.53223	0.520646	radar	3.22813	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3167	19.5281	4.78145	2.55789	0.518906	lidar	0.855324	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0933	19.6119	4.76629	2.60867	0.556085	radar	10.075	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.889	19.755	4.78607	2.62895	0.547833	lidar	0.778021	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6996	19.8802	4.7634	2.63413	0.502536	radar	3.21496	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4716	20.031	4.81603	2.6521	0.493703	lidar	1.38821	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2618	20.1719	4.83463	2.66329	0.473616	radar	5.71226	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0719	20.3045	4.82475	2.67472	0.461344	lidar	1.83927	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8419	20.3869	4.82427	2.71204	0.483081	radar	2.13404	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6262	20.5062	4.83535	2.72871	0.475185	lidar	0.646271	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3908	20.5927	4.85016	2.7648	0.499598	radar	1.30513	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1445	20.6671	4.86523	2.79689	0.506503	lidar	0.74873	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9083	20.738	4.87245	2.83219	0.526689	radar	0.38563	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6359	20.8012	4.91544	2.86695	0.534229	lidar	1.82053	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3884	20.8319	4.92106	2.91997	0.583739	radar	2.41234	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
